	LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	Groups	Entity/Descriptor
H8-3	-0.01	-0.06	-0.05	-0.06	-0.06	-0.11	0.48	0.54	0.36	0.45	0.25	0.51	0.53	0.28	0.37	0.31	0.20	0.22	H8-	0
Q10-1	-0.01	-0.13	-0.12	-0.12	-0.11	-0.20	0.65	0.70	0.46	0.60	0.39	0.67	0.65	0.37	0.52	0.41	0.29	0.31	Q10	0
Q10-2	-0.01	-0.13	-0.12	-0.12	-0.11	-0.21	0.66	0.71	0.47	0.61	0.40	0.68	0.66	0.38	0.53	0.42	0.30	0.32	Q10	0
Q10-3	-0.01	-0.13	-0.11	-0.12	-0.11	-0.20	0.65	0.70	0.46	0.60	0.39	0.67	0.66	0.38	0.52	0.41	0.30	0.32	Q10	0
Q9-1	0.00	-0.21	-0.19	-0.19	-0.17	-0.29	0.73	0.76	0.52	0.66	0.48	0.74	0.72	0.44	0.66	0.48	0.33	0.35	Q9-	0
Q9-2	-0.01	-0.20	-0.18	-0.17	-0.16	-0.28	0.72	0.76	0.51	0.66	0.47	0.73	0.71	0.43	0.63	0.47	0.33	0.35	Q9-	0
Q9-3	-0.01	-0.19	-0.17	-0.17	-0.15	-0.27	0.70	0.75	0.50	0.65	0.45	0.72	0.70	0.42	0.61	0.46	0.32	0.34	Q9-	0
Q11-1	-0.01	-0.16	-0.14	-0.14	-0.13	-0.24	0.73	0.72	0.51	0.63	0.46	0.73	0.73	0.45	0.65	0.49	0.31	0.33	Q11	0
Q11-2	-0.01	-0.14	-0.13	-0.13	-0.11	-0.22	0.68	0.72	0.48	0.62	0.43	0.70	0.69	0.40	0.58	0.44	0.31	0.33	Q11	0
Q11-3	-0.01	-0.14	-0.12	-0.12	-0.11	-0.21	0.67	0.71	0.47	0.61	0.41	0.69	0.68	0.39	0.56	0.43	0.30	0.32	Q11	0
Q14-1	0.00	-0.17	-0.16	-0.16	-0.14	-0.23	0.68	0.71	0.48	0.61	0.42	0.70	0.68	0.40	0.59	0.44	0.28	0.30	Q14	0
Q14-2	0.00	-0.17	-0.15	-0.15	-0.13	-0.23	0.67	0.71	0.47	0.61	0.42	0.69	0.68	0.39	0.58	0.43	0.28	0.30	Q14	0
Q14-3	0.00	-0.16	-0.15	-0.15	-0.13	-0.23	0.67	0.71	0.47	0.60	0.41	0.69	0.67	0.39	0.57	0.43	0.28	0.29	Q14	0
T18-1	-0.01	-0.10	-0.09	-0.09	-0.08	-0.16	0.58	0.63	0.41	0.53	0.32	0.61	0.61	0.33	0.45	0.36	0.25	0.27	T18	0
T18-2	-0.01	-0.10	-0.09	-0.09	-0.08	-0.15	0.57	0.62	0.41	0.52	0.32	0.60	0.60	0.33	0.45	0.36	0.24	0.26	T18	0
T18-3	-0.01	-0.10	-0.09	-0.09	-0.08	-0.16	0.58	0.63	0.41	0.53	0.33	0.61	0.61	0.33	0.46	0.36	0.24	0.27	T18	0
T20-1	-0.01	-0.11	-0.09	-0.10	-0.09	-0.16	0.58	0.62	0.42	0.52	0.32	0.60	0.59	0.33	0.46	0.37	0.26	0.28	T20	0
T20-2	-0.01	-0.11	-0.09	-0.10	-0.09	-0.16	0.57	0.61	0.41	0.51	0.32	0.59	0.59	0.33	0.46	0.36	0.24	0.26	T20	0
T20-3	-0.01	-0.11	-0.10	-0.10	-0.09	-0.16	0.58	0.62	0.42	0.52	0.32	0.60	0.59	0.33	0.46	0.37	0.26	0.28	T20	0
T22-1	-0.01	-0.11	-0.09	-0.09	-0.09	-0.16	0.59	0.63	0.42	0.53	0.33	0.62	0.61	0.33	0.47	0.37	0.25	0.27	T22	0
T22-2	-0.01	-0.11	-0.09	-0.09	-0.08	-0.16	0.60	0.65	0.43	0.55	0.34	0.63	0.62	0.34	0.48	0.37	0.27	0.30	T22	0
T22-3	-0.01	-0.11	-0.09	-0.09	-0.08	-0.16	0.59	0.64	0.42	0.54	0.34	0.62	0.62	0.34	0.47	0.37	0.26	0.28	T22	0
T23-1-1	-0.01	-0.13	-0.11	-0.11	-0.11	-0.19	0.61	0.65	0.43	0.55	0.36	0.64	0.63	0.35	0.51	0.39	0.25	0.27	T23	0
T23-1-2	-0.01	-0.13	-0.11	-0.11	-0.10	-0.19	0.61	0.65	0.43	0.54	0.35	0.63	0.63	0.35	0.51	0.39	0.25	0.26	T23	0
T23-1-3	-0.01	-0.12	-0.11	-0.11	-0.10	-0.19	0.61	0.65	0.43	0.54	0.35	0.63	0.63	0.35	0.50	0.38	0.25	0.27	T23	0
T27-1	-0.01	-0.11	-0.10	-0.10	-0.09	-0.17	0.59	0.63	0.41	0.53	0.33	0.62	0.60	0.33	0.47	0.37	0.25	0.27	T27	0
T27-2	-0.01	-0.11	-0.10	-0.10	-0.09	-0.17	0.59	0.62	0.41	0.52	0.33	0.61	0.60	0.33	0.47	0.37	0.25	0.27	T27	0
T27-3	-0.01	-0.11	-0.10	-0.10	-0.09	-0.17	0.59	0.63	0.42	0.53	0.34	0.62	0.61	0.34	0.48	0.37	0.25	0.28	T27	0
T29-1	-0.01	-0.12	-0.11	-0.11	-0.10	-0.18	0.59	0.63	0.42	0.53	0.34	0.62	0.61	0.34	0.49	0.38	0.25	0.27	T29	0
T29-2	-0.01	-0.12	-0.11	-0.11	-0.10	-0.18	0.59	0.63	0.42	0.52	0.34	0.62	0.61	0.34	0.49	0.37	0.24	0.26	T29	0
T29-3	-0.01	-0.12	-0.11	-0.11	-0.10	-0.18	0.59	0.63	0.42	0.53	0.34	0.62	0.61	0.34	0.49	0.37	0.25	0.27	T29	0
